141,Coordinateur OpÃ©rations E-commerce, Confidentiel ,21/02/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, < Bac , Français , Negociable ,non spécifié, Le Coordinateur Opérations e-Commerce a pour mission le pilotage de l’ensemble des opérations en relation directe avec la livraison. Il est garant de la qualité de l’expérience client depuis la passation de commande jusqu’à la livraison. Piloter toutes les opérations qui ont un impact direct sur la livraison et assurer une bonne expérience client sur le volet de la livraison 
,postes,entreprises,date de publication,localités,pays concernés,categoriess,regions,contrats,experiences,diplomes,langues,salaires,fonction,Missions
142,ContrÃ´leur De Gestion Bi, Confidentiel ,20/02/2023," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Vous participez activement à la structuration des données financières du groupe et au déploiement de la stratégie de Business Intelligence (BI) de l’équipe Finance. Vous travaillez sous la responsabilité du Manager Finance Europe & Africa pour l’élaboration du reporting et des analyses des clôtures mensuelles, du budget & forecast. Vous êtes un support actif dans la réalisation de la vision et des objectifs stratégiques de l’entreprise. Vous êtes le garant du bon déroulement des clôtures mensuelles Kitchen & Bath Europe & Africa, vous assurez la fiabilité des informations comptables dans les systèmes d’information et produisez les rapports à destination de la direction générale Europe & Africa et Corporate. Vous êtes aussi le partenaire privilégié des autres services de l’entreprise (Direction générale, Direction Financière, Marketing, Supply Chain, shared services…) dans la production d’analyses permettant de prendre les meilleures décisions dans le pilotage de l’activité. Vous participez également activement aux projets d’améliorations des processus financiers à travers le développement d’outils BI adaptés. "
143,Sales Inside Anglophone, Confidentiel ,17/02/2023," kenitra, Maroc ", Maroc ,non spécifié, kenitra , CDI ,Experience :, Bac + 2 , Anglais , Negociable ,non spécifié, Accompagner les clients dans la création et le suivi des devis sur le site web Faire le suivi des devis et les transformer en commandes Augmenter le chiffre d’affaires en proposant des ventes additionnelles Détecter les clients à fort potentiel Gérer les flux des demandes entrantes 
144,Responsable ContrÃ´le De Gestion, Confidentiel ,16/02/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Le responsable contrôleur de gestion a pour mission d’assurer une bonne visibilité de la rentabilité d'une entreprise et à optimiser les coûts. Il est tenu d’assister les directions de l’entreprise dans la prise de décisions stratégiques concernant l’activité de l’entreprise. 
145,Directeur Filiale H/f, Confidentiel ,16/02/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Définir et mettre en place la stratégie Opérations et aligner l’organisation/culture pour atteindre et dépasser les objectifs. Garantir les résultats fixés par le client pour les indicateurs Clients-Equipes-Ventes-Profits. Elever les standards opérationnels de l’ensemble des unités Délivrer et dépasser les profits dans chaque unité. Faciliter la mise en place opérationnelle des initiatives Marketing et Promotion des Ventes. Garantir l’application des lois et standards pour tous les équipiers au sein de chaque unité (recrutement, formation, développement) Business Plan et écriture des Budgets / Politique Achat et Sourcing "
146,Auditeur Interne, Confidentiel ,15/02/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," L’auditeur interne a pour mission de vérifier l’exactitude des informations, organisationnelles ou financières, fournies aux dirigeants de l’entreprise. Grâce à l’audit, ils pourront définir de nouveaux objectifs ou adopter de nouvelles méthodes de travail. "
147,Informaticien En Charge De Lâexploitation , Confidentiel ,09/02/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Administration et la sécurité de la plateforme technique SAP : SAP BC, Base Oracle, Sauvegardes, Systèmes d’exploitation, virtualisation et HPE Blade ; Maintien en conditions opérationnelles des instances SAP et des serveurs applicatifs ; Contrôles quotidiens des systèmes SAP ; Contrôle des performances des systèmes SAP ; Analyse et suivi des incidents techniques SAP & amélioration continue ; Gestion des environnements SAP : "" DEV "", "" QUAL "" et "" PROD "" ; Configuration et gestion des jobs ; Configuration et gestion des transports (TMS) vers SAP (gestion des comptes, gestion des référentiels, accès et habilitations, etc.) ; Programmation ABAP pour la maintenance des développements spécifiques ; Réalisation d’applications spécifiques SAP en ABAP ; Surveillance des backups ; Rédaction des procédures d’exploitation et des dossiers d’analyse des développements spécifiques ; Support technique aux utilisateurs autour de la solution SAP ; "
148,Assistante De Direction Commerciale, Confidentiel ,06/02/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 4 , Français , Negociable ,non spécifié," Accompagner le Directeur Commercial et Marketing dans l’optimisation de sa gestion et de ses engagements internes et externes. Assurer la circulation de l’information entre le Directeur Commercial et Marketing et les différents services, et équipes. Coordonner avec le Directeur Commercial et Marketing les activités de promotion de la société (Salons, Voyages, Evénements….). Préparer le Reporting mensuel des résultats commerciaux Maroc & reste Maghreb. Tenir à jour une base de données d’offres chantiers en cours de prospection ou en cours de négociation. "
149,Commercial Bois/derive , Confidentiel ,31/01/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Assurer la prospection et le développement du portefeuille client en élaborant un plan de prospection Anticiper et susciter les besoins de la clientèle Organiser son travail en fonction d’objectifs commerciaux définis par la direction Définir son planning de visite Présenter les produits au client Conseiller, argumenter et répondre aux objections en présentant rapidement des arguments persuasifs Conclure les ventes par l’établissement de bons de commande Assurer le suivi commercial et administratif de sa clientèle Faire preuve de résistance en cas d’échecs répétés liés au mode de démarchage Développer et maintenir ses connaissances concernant la concurrence (produits, financement, prix ……) Se tenir au courant des évolutions techniques "
150,Photographe-videaste, Confidentiel ,31/01/2023," Rabat-Salé-Kenitra-Zemmour-Zaër, Maroc ", Maroc ,non spécifié, Rabat-Salé-Kenitra-Zemmour-Zaër , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié," Placé sous l'autorité du responsable du service Éditions et information, il a en charge la production et la réalisation de vidéos adaptées aux objectifs fixés et aux supports de communication. "
151,Key Account Manager, Confidentiel ,31/01/2023," Marrakech-Tensift-El Haouz, Maroc ", Maroc ,non spécifié, Marrakech-Tensift-El Haouz , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Elaboration et mise en place de la stratégie commerciale pour les comptes clés. Définition des plateformes de croissance pour les comptes clés. Revue mensuelle, trimestrielle et annuelle des performances des comptes clés. Négociation des contrats avec les centrales d’achats. Pilotage des prévisions des ventes par marque, par enseigne et par mois. Mise en place des plans promotionnels et d’activation annuels ; Suivi du budget et de la profitabilité des comptes clés. Formation des Vendeurs et monitoring de l'exécution… "
152,TrÃ©sorier, Confidentiel ,31/01/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Le trésorier est responsable de la gestion des liquidités, des placements et des risques de l’entreprise liés aux activités financières de l’entreprise. "
