,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
871,Secrétaire bureautique polyvalent," Fabrication d'instruments médicaux, de précision d'optique et d'horlogerie ",1,03/01/2024,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CI,SMIG,Technicien spécialisé,(6 mois - 1 an),Francais : Bon,Bac+2 en secretariat ou en comptabilité avec une première experience 
872,Opérateur sur machines automatiques en production électrique ou électronique., Fabrication de machines et appareils électriques ,600,02/01/2024,non spécifié, BEN SLIMANE ,CI,non spécifié,Diplôme de qualification professionnelle,non spécifié,non spécifié,non spécifié
873,Electricien du bâtiment et des travaux publics," Production et distribution d'électricité, de gaz et de chaleur ",2,02/01/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Ingénieur ,Système électriques et télécommunications ",non spécifié,"Francais : Courant, Arabe : Langue maternelle, Anglais : Moyen",non spécifié
874,Operateur de production de l’industrie automobile, Industrie automobile ,1200,02/01/2024,03/01/2024, BEN SLIMANE ,CI,non spécifié,"Diplôme de qualification professionnelle ,Réparateur des appareils électroniques ",non spécifié,non spécifié,non spécifié
875,Aide agricole polyvalent ou saisonnier," Agriculture, chasse ",50,02/01/2024,non spécifié, EL KELAA DES SRAGHNA ,CDD," Salaire journalier de 82,61 Dhs Net+8,47dhs de prime de poste+ Prime de Présence et de Bonne Conduite /1 ère et 2ème Quinzaine = 03 Dhs/Jr /3 -ème et 4 -ème Quinzaine = 08 Dhs/jr /A partir de la 5 -ème Quinzaine = 15 Dhs/jr /Contrat de Travail : Saisonnier, une journée de repos /Couverture sociale : Assurance maladie obligatoire, Assurance contre les accidents de travail. /Hébergement : Hébergement gratuit dans les secteurs d’habitations au niveau des fermes /Transport : Prise en charge premier déplacement de l’ouvrier de sa ville de résidence à destination du site d’affectation.",Sans diplôme,non spécifié,non spécifié,non spécifié
876,Commercial/Commerciale, Santé et action sociale ,3,02/01/2024,non spécifié, CASA-ANFA SUPERIEUR,CDI,non spécifié,"Technicien spécialisé ,Agent technique de vente ",(6 mois - 1 an),"Arabe : Courant, Francais : Courant",non spécifié
877,Opérateur sur machine mécanisée1 de câblage , Fabrication de machines et appareils électriques ,150,02/01/2024,15/01/2024, CASA-NOUACER,CI,non spécifié,Certificat de spécialisation professionnelle,non spécifié,non spécifié,non spécifié
878,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,100,02/01/2024,08/01/2024, BERRECHID,CI,non spécifié,Baccalauréat,non spécifié,non spécifié,non spécifié
879,Employé de libre service, Commerce de gros et intermédiaires du commerce ,300,02/01/2024,non spécifié, PLUSIEURS VILLES,CI,non spécifié,Bac + 2,non spécifié,Francais : Bon,non spécifié
880,Secrétaire bureautique polyvalent, Industrie du papier et du carton ,1,02/01/2024,non spécifié, CASA-NOUACER,CDD,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
881,Opérateur sur machines automatiques en production électrique ou électronique., Industries alimentaires ,10,30/12/2023,15/01/2024, EL JADIDA ,CI,non spécifié,"Technicien ,Electromécanique des systèmes automatisés ",(6 mois - 1 an),"Arabe : Bon, Francais : Bon",non spécifié
882,Ouvrier du béton, Construction ,12,30/12/2023,15/01/2024, EL JADIDA ,CDD,non spécifié,Sans diplôme,(1 an - 2 ans),Arabe : Bon,non spécifié
883,Employé de gestion administrative, Industries alimentaires ,1,30/12/2023,15/01/2024, EL JADIDA ,CI,non spécifié,"Bac + 3, bachelor ,Administration des entreprises ",(2 ans - 3 ans),"Francais : Bon, Anglais : Moyen",non spécifié
884,Opérateur de maintenance sur installation industrielle , Industries alimentaires ,3,30/12/2023,15/01/2024, EL JADIDA ,CDI,non spécifié,"Technicien spécialisé ,Electromécanique des systèmes automatisés ",(3 ans - 5 ans),"Arabe : Bon, Francais : Bon",non spécifié
885,Entraîneur sportif," Activités récréatives, culturelles et sportives ",2,29/12/2023,non spécifié, NADOR ,CDD,non spécifié,Formation qualifiante,non spécifié,Arabe : Courant,non spécifié
886,Secrétaire de direction, Activités associatives ,1,29/12/2023,non spécifié, CASABLANCA-ANFA,CI,non spécifié,"Bac + 2 ,Administration et finances ",(1 an - 2 ans),"Arabe : Langue maternelle, Francais : Bon",non spécifié
887,Vendeur/Vendeuse, Commerce de gros et intermédiaires du commerce ,10,29/12/2023,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,Missions du poste : * Présenter soigneusement les vêtements sur les rayons *Accueillir les clients dans la boutique *Ecouter leurs besoins et répondre à leurs questions *Gérer les stocks de vêtements et d’articles en vente *Ranger le magasin * enregistrer et encaisser les marchandises des clients au magasin,Bac + 2,non spécifié,Francais : Bon,non spécifié
888,Vendeur/Vendeuse, Commerce de gros et intermédiaires du commerce ,10,29/12/2023,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,Missions du poste : * Présenter soigneusement les vêtements sur les rayons *Accueillir les clients dans la boutique *Ecouter leurs besoins et répondre à leurs questions *Gérer les stocks de vêtements et d’articles en vente *Ranger le magasin * enregistrer et encaisser les marchandises des clients au magasin,Bac + 2,non spécifié,Francais : Bon,non spécifié
889,Vendeur en équipement de la personne, Commerce de gros et intermédiaires du commerce ,1,29/12/2023,non spécifié, PLUSIEURS VILLES,CDI,Gérant de magasin de Vêtements sur les villes suivantes : * Agadir * Marrakech * Casablanca * Fes,Bac + 2,non spécifié,Francais : Bon,non spécifié
890,Secrétaire bureautique polyvalent, Santé et action sociale ,1,27/12/2023,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CI,non spécifié,Baccalauréat,non spécifié,Francais : Moyen,non spécifié
891,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,100,27/12/2023,non spécifié, BERRECHID,CI,non spécifié,"Diplôme de qualification professionnelle ,Réparateur des appareils électroniques ",non spécifié,"Arabe : Langue maternelle, Francais : Moyen",non spécifié
892,Assistant du Bâtiment et travaux publics, Commerce de gros et intermédiaires du commerce ,1,27/12/2023,non spécifié, AL ISMAILIA ,CI,non spécifié,"Technicien ,Tech sp en Génie civil ",non spécifié,non spécifié,non spécifié
893,Agent d'encadrement des industries agro-alimentaires, Commerce de gros et intermédiaires du commerce ,1,27/12/2023,non spécifié, AL ISMAILIA ,CI,non spécifié,"Technicien spécialisé ,Industries agricoles et alimentaires ",non spécifié,non spécifié,non spécifié
894,Commercial/Commerciale, Commerce de détail et réparation d'articles domestiques ,1,27/12/2023,09/12/2024, EL JADIDA ,CDI,non spécifié,"Technicien ,Commerce et Gestion ",(1 an - 2 ans),non spécifié,non spécifié
895,Employé de ménage, Hôtellerie et restauration ,1,27/12/2023,non spécifié, CASA-NOUACER,CDD,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
896,Electromécanicien en machines tournantes, Services fournis principalement aux entreprises ,1,27/12/2023,non spécifié, SKHIRATE TEMARA ,CI,non spécifié,"Technicien spécialisé ,Maintenance des machines outils et Autres machines de production automatisée ",non spécifié,"Arabe : Langue maternelle, Francais : Moyen",non spécifié
897,Opérateur sur machines automatiques en production électrique ou électronique., Fabrication de machines et appareils électriques ,1500,27/12/2023,02/01/2024, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,"Technicien ,Electricité ",non spécifié,non spécifié,non spécifié
898,Technicien d'installation de matériel électrique ou électronique, Autres ,1,27/12/2023,non spécifié, TIZNIT ,CI,non spécifié,"Technicien spécialisé ,Electricité ",non spécifié,"Francais : Moyen, Arabe : Bon",non spécifié
899,Agent de sécurité et de surveillance, Hôtellerie et restauration ,1,27/12/2023,non spécifié, CASA-NOUACER,CDD,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
900,Monteur câbleur en électronique., Industrie automobile ,200,27/12/2023,non spécifié, MEKNES-EL MENZEH,CI,non spécifié,"Sans diplôme ,Dernière année d’enseignement collégial sans obtention du Brevet d’enseignement collégial ",non spécifié,Francais : Bon,non spécifié
901,Technicien en logistique, Services fournis principalement aux entreprises ,1,26/12/2023,non spécifié, AGADIR,CI,non spécifié,"Technicien ,Gestion des entreprises ",non spécifié,Francais : Bon,tech en logistique
902,Attaché commercial auprès des entreprises et / ou des collectivités, Commerce et réparation automobile ,2,26/12/2023,non spécifié, EL JADIDA ,CDD,non spécifié,"Bac + 3, bachelor ,Marketing et Management ",non spécifié,"Francais : Bon, Arabe : Bon",non spécifié
903,Conducteur routier de transport de marchandises, Construction ,1,26/12/2023,27/12/2023, KHENIFRA ,CDD,non spécifié,non spécifié,non spécifié,Arabe : Langue maternelle,non spécifié
904,Responsable de la gestion des ressources humaines, Commerce et réparation automobile ,1,26/12/2023,non spécifié, TANGER-ASSILAH,CDI,non spécifié,"Bac + 5, master privé, MBA ,Management des ressources humaines ",(5 ans - 10 ans),"Anglais : Courant, Francais : Courant",non spécifié
905,"Operateur sur poste de montage, assemblage"," Fabrication de meubles, industries diverses ",80,26/12/2023,05/12/2024, BERRECHID,Choix Multiple,"Opérateurs et des ouvriers qualifiés: installation, réparation et maintenance et travaux divers.",Certificat de spécialisation professionnelle,non spécifié,Francais : Moyen,non spécifié
906,Infirmier polyvalent , Santé et action sociale ,10,26/12/2023,01/02/2024, MARRAKECH GUELIZ-ENNAKHIL,CI,nous cherchons pour notre clinique des infirmières polyvalentes avec expérience ,"Technicien spécialisé ,Infirmier polyvalent ",(6 mois - 1 an),"Anglais : Notions, Arabe : Langue maternelle, Francais : Courant",Avoir un diplome infirmier polyvalent ou auxilière avec minimum 6 mois d'expérience
907,Electricien du bâtiment et des travaux publics, Construction ,1,25/12/2023,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDI,non spécifié,Diplôme de qualification professionnelle,(2 ans - 3 ans),"Francais : Moyen, Arabe : Langue maternelle",non spécifié
908,Ouvrier du batiment installateur équipement plomberie sanitaire, Construction ,1,25/12/2023,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDI,non spécifié,Diplôme de qualification professionnelle,(2 ans - 3 ans),"Francais : Moyen, Arabe : Langue maternelle",non spécifié
909,Dessinateur d'art, Commerce de gros et intermédiaires du commerce ,1,25/12/2023,non spécifié, RHAMNA,CDI,·Transformer les concepts de design en dessins techniques détaillés ·Créer des rendus 2D pour illustrer les conceptions de produits. ·Réaliser des dossiers d’exécution complet. ·Travailler en collaboration avec les fabricants pour assurer la faisabilité et la qualité des produits et des projets. ·Assurer le respect des normes de qualité et des spécifications techniques dans tous les dessins. ·Mettre à jour les plans et les documents techniques en fonction des modifications ou des ajustements requis. ·Participer à l'exploration de nouvelles techniques et technologies pour améliorer les processus de conception.,non spécifié,non spécifié,"Francais : Bon, Anglais : Moyen",non spécifié
910,Monteur électricien d'équipements industriels, Industrie du papier et du carton ,1,25/12/2023,non spécifié, CASA-NOUACER,CDD,Electricien qualifié (variateurs),Technicien spécialisé,non spécifié,non spécifié,non spécifié
911,Electromécanicien en machines tournantes, Industrie du papier et du carton ,4,25/12/2023,non spécifié, CASA-NOUACER,CDD,Electromécanicien En Machines Tournantes,Technicien,non spécifié,non spécifié,non spécifié
912,Agent de sécurité et de surveillance, Services fournis principalement aux entreprises ,6,25/12/2023,non spécifié, EL JADIDA ,CI,agent de sécurité ,Diplôme de qualification professionnelle,(moins de 6 mois),"Francais : Notions, Arabe : Langue maternelle",non spécifié
913,Agent d'encadrement de maintenance, Industrie chimique ,1,25/12/2023,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDI,non spécifié,"Ingénieur ,Génie mécanique et structures ",non spécifié,"Anglais : Bon, Francais : Bon, Arabe : Langue maternelle",non spécifié
914,Opérateur de laboratoire (chimie-énergie), Industrie chimique ,1,25/12/2023,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDI,non spécifié,"Diplôme du 2ème cycle universitaire ,Chimie ",(1 an - 2 ans),"Arabe : Langue maternelle, Francais : Bon",non spécifié
915,Agent d'encadrement de maintenance, Autres ,1,25/12/2023,non spécifié, EL JADIDA ,CDI,non spécifié,Ingénieur,(1 an - 2 ans),"Arabe : Langue maternelle, Francais : Courant, Anglais : Bon",non spécifié
916,Technicien de laboratoire d'analyses médicales, Autres ,1,25/12/2023,non spécifié, EL JADIDA ,CDI,non spécifié,"Diplôme du 2ème cycle universitaire ,Science de la matière (chimie) ",(1 an - 2 ans),"Arabe : Langue maternelle, Francais : Bon, Anglais : Bon",non spécifié
917,Commercial/Commerciale, Commerce de gros et intermédiaires du commerce ,1,25/12/2023,non spécifié, TANGER-ASSILAH,CI,non spécifié,"Bac + 3, bachelor ,Communication et Marketing ",non spécifié,"Francais : Moyen, Anglais : Moyen",non spécifié
918,Responsable qualité, Santé et action sociale ,1,25/12/2023,non spécifié, SKHIRATE TEMARA ,CDI,"1. . Responsable de l’exécution des projets industriels et de la coordination globale de la qualité et la fabrication des produits stériles 2. En charge des aspects assurance qualité et contrôle qualité des projets stériles injectable en interface avec les utilisateurs finaux et les équipes de transfert technologique Conception et qualification de l'équipement 3. Mise en place de tous les processus Qualité et laboratoire de contrôle conformément aux exigences des produits, des tests et achat d'équipements de laboratoire et de produits chimiques de la nouvelle usine des injectables 4. Préparation de toutes les spécifications, protocoles et validations de méthodes analytiques pour différents produits stériles 5. Evalue la phase de préachat des instruments analytiques et l’exécution de la qualification ",non spécifié,non spécifié,non spécifié,non spécifié
